key	value	valueType	codeUnitOffset	literalReferenceMethodCount	nonConfigMapReferenceMethodCount	productConfigReference
FEATURE_QR_SCANNING_THRESHOLD	500	integer	010b	7	1	True
FEATURE_AE_FPS	5	integer	0114	7	1	True
FEATURE_CAMERA_SLOW_MOTION_4K_SUPPORT	false	boolean	011b	7	1	True
FEATURE_FRONT_DETECT_SUPER_NIGHT_THRESHOLD	320	integer	0124	7	1	True
FEATURE_FRONT_SINGLEBOKEH_DETECT_SUPER_NIGHT_THRESHOLD	320	integer	012b	7	1	True
FEATURE_REAR_DETECT_SUPER_NIGHT_THRESHOLD	335	integer	0134	7	1	True
FEATURE_TELE_DETECT_SUPER_NIGHT_THRESHOLD	290	integer	013d	2	1	True
FEATURE_REAR_BOKEH_DETECT_SUPER_NIGHT_THRESHOLD	335	integer	0144	7	1	True
FEATURE_REAR_DETECT_DARK_VISION_THRESHOLD	445	integer	014d	7	1	True
FEATURE_TELE_DETECT_DARK_VISION_THRESHOLD	445	integer	0154	2	1	True
FEATURE_FRONT_DETECT_NIGHT_THRESHOLD	320	integer	015b	7	1	True
